ES-003 - LAS CUCHILLAS
Sistematización de Hatos
Software GANADERO SG - Reportes Personalizados
Número = Número del Animal              Nombre = Nombre              E.Mes = Edad en meses              E. Años = Edad en años              Edad Año - Mes = Edad Año - Mes - día
EA = Estado actual              #C = Total Crías              #P = Total Partos              # Abortos = Total Abortos              F.Últ.Par = Fecha último parto
F. P. P = Fecha próximo parto
Actualizado a: 05/02/26 Impresión: 09/02/26 04:06:43 PM
Hojas incluidas: 57988969
Hoja;Número;Nombre;E.Mes;E. Años;Edad Año - Mes;EA;#C;#P;# Abortos;F.Últ.Par;Gest.;F. Preñ;Estado reprod.;TPreñez;D.Ab;F. P. P
57988969;011283561;LA CHIRI;34.5;2.9;02a 10m 12d;NV;0;0;0;  -   -;0;-   -;Vacía;;426;-   -
57988969;011284260;00388928;34;2.8;02a 09m 26d;NV;0;0;0;  -   -;101;2025-10-31;Preñada;MN;58;2026-08-12
57988969;011284294;00208929;33.3;2.8;02a 09m 06d;NV;0;0;0;  -   -;86;2025-11-15;Preñada;MN;340;2026-08-27
57988969;011284298;3-06-026;33.2;2.8;02a 09m 04d;NV;0;0;0;  -   -;0;-   -;Vacía;;426;-   -
57988969;011284323;LA ESQUI;32.8;2.7;02a 08m 21d;NV;0;0;0;  -   -;161;2025-09-01;Preñada;MN;0;2026-06-13
57988969;011284337;00388883;33.9;2.8;02a 09m 23d;NV;0;0;0;  -   -;0;-   -;Vacía;;426;-   -
57988969;011591651;00390668;33.5;2.8;02a 09m 13d;NV;0;0;0;  -   -;0;-   -;Vacía;;426;-   -
57988969;011591661;7-10-007;32.8;2.7;02a 08m 22d;NV;0;0;0;  -   -;0;-   -;Vacía;;159;-   -
57988969;011591662;00025160;32.7;2.7;02a 08m 20d;NV;0;0;0;  -   -;0;-   -;Vacía;;159;-   -
57988969;011591663;00069574;32.7;2.7;02a 08m 19d;NV;0;0;0;  -   -;0;-   -;Vacía;;0;-   -
57988969;011591664;00194453;32.7;2.7;02a 08m 19d;NV;0;0;0;  -   -;86;2025-11-15;Preñada;MN;340;2026-08-27
57988969;011591680;00208968;32.2;2.7;02a 08m 03d;NV;0;0;0;  -   -;146;2025-09-16;Preñada;MN;13;2026-06-28
57988969;011591684;LA GARZA;32.7;2.7;02a 08m 18d;NV;0;0;0;  -   -;0;-   -;Vacía;;159;-   -
57988969;011591686;LA PESCU;32.7;2.7;02a 08m 18d;NV;0;0;0;  -   -;101;2025-10-31;Preñada;MN;58;2026-08-12
57988969;011591699;LA MILEY;32.4;2.7;02a 08m 08d;NV;0;0;0;  -   -;0;-   -;Vacía;;0;-   -
57988969;011591704;LA LORGI;32.3;2.7;02a 08m 06d;NV;0;0;0;  -   -;0;-   -;Vacía;;159;-   -
57988969;011591718;LA CERO;32;2.7;02a 07m 27d;NV;0;0;0;  -   -;0;-   -;Vacía;;426;-   -
57988969;011594438;LA MOLOT;31.8;2.6;02a 07m 21d;NV;0;0;0;  -   -;0;-   -;Vacía;;159;-   -
57988969;011594448;LA MUSIC;31.8;2.6;02a 07m 20d;NV;0;0;0;  -   -;101;2025-10-31;Preñada;MN;58;2026-08-12
